1,1,141
1,2,140
1,3,136
1,4,135
1,5,144
1,6,137
1,7,141
1,8,123
1,9,119
1,10,122
1,11,122
1,12,130
1,13,125
1,14,126
1,15,122
1,16,119
1,17,122
1,18,122
1,19,130
1,20,125
1,21,126
1,22,122
1,23,119
1,24,122
1,25,122
1,26,130
1,27,125
1,28,126
1,29,122
1,30,119
1,31,122
2,1,122
2,2,130
2,3,125
2,4,126
2,5,122
2,6,119
2,7,122
2,8,122
2,9,130
2,10,125
2,11,126
2,12,122
2,13,119
2,14,123
2,15,126
2,16,135
2,17,129
2,18,127
2,19,127
2,20,125
2,21,126
2,22,127
2,23,135
2,24,130
2,25,131
2,26,127
2,27,125
2,28,126
2,29,0
2,30,0
2,31,0
3,1,127
3,2,135
3,3,130
3,4,132
3,5,127
3,6,125
3,7,126
3,8,129
3,9,138
3,10,132
3,11,141
3,12,132
3,13,130
3,14,131
3,15,134
3,16,143
3,17,135
3,18,141
3,19,133
3,20,130
3,21,131
3,22,135
3,23,141
3,24,135
3,25,141
3,26,132
3,27,130
3,28,131
3,29,135
3,30,142
3,31,135
4,1,141
4,2,132
4,3,126
4,4,127
4,5,133
4,6,141
4,7,134
4,8,135
4,9,129
4,10,124
4,11,128
4,12,131
4,13,139
4,14,133
4,15,138
4,16,129
4,17,124
4,18,127
4,19,131
4,20,139
4,21,133
4,22,138
4,23,129
4,24,123
4,25,127
4,26,131
4,27,139
4,28,133
4,29,138
4,30,128
4,31,0
5,1,125
5,2,126
5,3,129
5,4,140
5,5,131
5,6,138
5,7,129
5,8,124
5,9,127
5,10,130
5,11,140
5,12,132
5,13,138
5,14,130
5,15,129
5,16,129
5,17,131
5,18,141
5,19,132
5,20,140
5,21,131
5,22,130
5,23,131
5,24,133
5,25,148
5,26,142
5,27,145
5,28,141
5,29,140
5,30,139
5,31,141
6,1,149
6,2,143
6,3,146
6,4,142
6,5,141
6,6,141
6,7,143
6,8,150
6,9,146
6,10,149
6,11,143
6,12,144
6,13,144
6,14,143
6,15,150
6,16,146
6,17,149
6,18,143
6,19,144
6,20,144
6,21,143
6,22,150
6,23,146
6,24,149
6,25,143
6,26,144
6,27,144
6,28,143
6,29,150
6,30,146
6,31,0
7,1,147
7,2,140
7,3,140
7,4,138
7,5,140
7,6,147
7,7,143
7,8,146
7,9,140
7,10,141
7,11,140
7,12,141
7,13,146
7,14,143
7,15,147
7,16,141
7,17,141
7,18,140
7,19,141
7,20,146
7,21,143
7,22,146
7,23,141
7,24,141
7,25,140
7,26,141
7,27,146
7,28,143
7,29,146
7,30,141
7,31,141
8,1,143
8,2,144
8,3,149
8,4,146
8,5,149
8,6,144
8,7,144
8,8,143
8,9,144
8,10,147
8,11,144
8,12,148
8,13,143
8,14,141
8,15,139
8,16,143
8,17,146
8,18,145
8,19,148
8,20,141
8,21,133
8,22,134
8,23,141
8,24,142
8,25,141
8,26,142
8,27,139
8,28,134
8,29,133
8,30,141
8,31,145
9,1,138
9,2,136
9,3,139
9,4,128
9,5,129
9,6,132
9,7,135
9,8,136
9,9,135
9,10,130
9,11,126
9,12,129
9,13,131
9,14,136
9,15,135
9,16,135
9,17,131
9,18,127
9,19,128
9,20,131
9,21,136
9,22,136
9,23,136
9,24,130
9,25,126
9,26,129
9,27,132
9,28,137
9,29,135
9,30,134
9,31,0
10,1,130
10,2,128
10,3,128
10,4,134
10,5,137
10,6,138
10,7,135
10,8,132
10,9,129
10,10,130
10,11,134
10,12,138
10,13,138
10,14,136
10,15,131
10,16,127
10,17,127
10,18,134
10,19,138
10,20,139
10,21,136
10,22,130
10,23,127
10,24,128
10,25,134
10,26,138
10,27,138
10,28,136
10,29,130
10,30,126
10,31,114
11,1,134
11,2,138
11,3,138
11,4,132
11,5,127
11,6,126
11,7,126
11,8,133
11,9,137
11,10,138
11,11,133
11,12,127
11,13,126
11,14,126
11,15,135
11,16,139
11,17,140
11,18,136
11,19,130
11,20,129
11,21,132
11,22,130
11,23,134
11,24,139
11,25,136
11,26,131
11,27,128
11,28,126
11,29,129
11,30,134
11,31,0
12,1,135
12,2,131
12,3,126
12,4,125
12,5,125
12,6,129
12,7,134
12,8,135
12,9,131
12,10,126
12,11,125
12,12,125
12,13,129
12,14,133
12,15,135
12,16,131
12,17,130
12,18,128
12,19,140
12,20,146
12,21,155
12,22,153
12,23,151
12,24,146
12,25,144
12,26,151
12,27,149
12,28,155
12,29,152
12,30,147
12,31,147
